author,content,poem name,age,type
HERBERT ZBIGNIEW,"Lasy plonely -
a oni
na szyjach splatali rece
jak bukiety roz

ludzie zbiegali do schronow -
on mowil ze zona ma wlosy
w ktorych sie mozna ukryc



okryci jednym kocem
szeptali slowa bezwstydne
litanie zakochanych



Gdy bylo bardzo zle
skakali w oczy naprzeciw
i zamykali je mocno



tak mocno ze nie poczuli ognia
ktory dochodzil do rzes



do konca byli mezni
do konca byli wierni
do konca byli podobni
jak dwie krople
zatrzymane na skraju twarzy",Dwie krople,Modern,Love
HERBERT ZBIGNIEW,"Caly szedl w szumie szat kamiennych
laurowy rzucal cien i blask

oddychal lekko jak posagi
a szedl jak kwiat

we wlasna zasluchany piesn
lire podnosil na wysokosc milczenia

zatopiony w sobie
zrenicami bialymi jak strumien

kamienny
od sandalow
do wstazki we wlosach



zmyslalem twoje palce
wierzylem twoim oczom
bez strun instrument
rece bez dloni

oddaj mi
mlody okrzyk
wyciagniete rece
i glowe moja
w ogromnym pioropuszu zachwytu

oddaj moja nadzieje
milczaca biala glowo

cisza -

peknieta szyja

cisza -

zlamany spiew



2

Pierwszego dnia mlodosci
nie dotkne cierpliwy nurek

wylawiam teraz tylko
slone strzaskane torsy

Apollo sni sie po nocach
z twarza poleglego Persa

mylne sa wrozby poezji
wszystko bylo inaczej

inny byl pozar poematu
inny byl pozar miasta
bohaterowie nie wrocili z wyprawy
nie bylo bohaterow
ocaleli niegodni

szukam posagu
zatopionego w mlodosci

pozostal tylko pusty cokol -
slad dloni szukajacy ksztaltu",Do Apollina,Modern,Love
HERBERT ZBIGNIEW,"Dobranoc Marku lampe zgas
i zamknij ksiazke Juz nad glowa
wznosi sie srebrne larum gwiazd
to niebo mowi obca mowa
to barbarzynski okrzyk trwogi
ktorego nie zna twa lacina
to lek odwieczny ciemny lek
o kruchy ludzki lad zaczyna

bic I zwyciezy Slyszysz szum
to przyplyw Zburzy twe litery
zywiolow niewstrzymany nurt
az runa swiata sciany cztery
coz nam - na wietrze drzec
i znow w popioly chuchac macic eter
gryzc palce szukac proznych slow
i wlec za soba cien poleglych

wiec lepiej Marku spokoj zdejm
i ponad ciemnosc podaj reke
niech drzy gdy bije w zmyslow piec
jak w watla lire slepy wszechswiat
zdradzi nas wszechswiat astronomia
rachunek gwiazd i madrosc traw
i twoja wielkosc zbyt ogromna
i moj bezradny Marku placz",Do Marka Aurelego,Modern,Love
HERBERT ZBIGNIEW,"Najpiekniejsza jest Nike w momencie
kiedy sie waha
prawa reka piekna jak rozkaz
opiera sie o powietrze
ale skrzydla drza

widzi bowiem
samotnego mlodzienca
idzie dluga koleina
wojennego wozu
szara droga w szarym krajobrazie
skal i rzadkich krzewow jalowca

ow mlodzieniec niedlugo zginie
wlasnie szala z jego losem
gwaltownie opada
ku ziemi

Nike ma ogromna ochote
podejsc
pocalowac go w czolo

ale boi sie
ze on ktory nie zaznal
slodyczy pieszczot
poznawszy ja
moglby uciekac jak inni

w czasie tej bitwy
wiec Nike waha sie
i w koncu postanawia
pozostac w pozycji
ktorej nauczyli ja rzezbiarze
wstydzac sie bardzo tej chwili wzruszenia

rozumie dobrze
ze jutro o swicie
musza znalezc tego chlopca
z otwarta piersia
zamknietymi oczyma
i cierpkim obolem ojczyzny
pod dretwym jezykiem",Nike ktora sie waha,Modern,Love
HERBERT ZBIGNIEW,"Po deszczu gwiazd
na lace popiolow
zebrali sie wszyscy pod straza aniolow

z ocalalego wzgorza
mozna objac okiem
cale beczace stado dwunogow

naprawde jest ich niewielu
doliczajac nawet tych ktorzy przyjda
z kronik bajek i zywotow swietych

ale dosc tych rozwazan przeniesmy sie wzrokiem
do gardla doliny z ktorego dobywa sie krzyk

po swiscie eksplozji
po swiscie ciszy
ten glos bije jak zrodlo zywej wody

jest to jak nam wyjasniaja
krzyk matek od ktorych odlaczaja dzieci
gdyz jak sie okazuje
bedziemy zbawieni pojedynczo

aniolowie stroze sa bezwzgledni
i trzeba przyznac maja ciezka robote

ona prosi
- schowaj mnie w oku
w dloni w ramionach
zawsze bylismy razem
nie mozesz mnie teraz opuscic
kiedy umarlam i potrzebuje czulosci

starszy aniol
z usmiechem tlumaczy nieporozumienie

staruszka niesie
zwloki kanarka
(wszystkie zwierzeta umarly troche wczesniej)
byl taki mily - mowi z placzem -
wszystko rozumial
kiedy powiedzialam
glos jej ginie wsrod ogolnego wrzasku

nawet drwal
ktorego trudno posadzic o takie rzeczy
stare zgarbione chlopisko
przyciska siekiere do piersi
- cale zycie byla moja
teraz tez bedzie moja
zywila mnie tam
wyzywi tu
nikt nie ma prawa
- powiada -
nie oddam

ci ktorzy jak sie zdaje
bez bolu poddali sie rozkazom

ida spusciwszy glowy na znak pojednania
ale w zacisnietych piesciach chowaja
strzepy listow wstazki wlosy uciete
i fotografie
ktore jak sadza naiwnie
nie zostana im odebrane

tak to oni wygladaja
na moment
przed ostatecznym podzialem
na zgrzytajacych zebami
i spiewajacych psalmy",U wrot doliny,Modern,Love
HERBERT ZBIGNIEW,"Ide nad morze
aby uslyszec ten glos
miedzy jednym uderzeniem fali
a drugim

ale glosu nie ma
jest tylko starcza gadatliwosc wody
slone nic
skrzydlo bialego ptaka
przyschniete do kamienia

ide do lasu
gdzie trwa nieprzerwany
szum ogromnej klepsydry
przesypujacej liscie w czarnoziem
czarnoziem w liscie
potezne zuchwy owadow
trawia milczenie ziemi

ide na pole
plyty zielone i zolte
przytwierdzone szpilkami owadzich istnien
dzwiecza za kazdym dotknieciem wiatru

gdzie jest ten glos
powinien odezwac sie
gdy na chwile zamilknie
niezmordowany monolog ziemi

nic tylko szmery
klaskanie wybuchy

wracam do domu
i doswiadczenie przyjmuje
postac alternatywy
albo swiat jest niemy
albo jestem gluchy

ale byc moze
obaj jestesmy
napietnowani kalectwem

musimy zatem
wziac sie pod reke
isc przed siebie
ku nowym widnokregom
ku skurczonym gardlom
z ktorych wydobywa sie
niezrozumiale bulgotanie",Glos,Modern,Love
HERBERT ZBIGNIEW,"Sa tacy ktorzy w glowie
hoduja ogrody
a wlosy ich sa sciezkami
do miast slonecznych i bialych

latwo im pisac
zamykaja oczy
a juz z czola splywaja
lawice obrazow

moja wyobraznia
to kawalek deski
a za caly instrument
mam drewniany patyk

uderzam w deske
a ona mi odpowiada
tak - tak
nie - nie

innym zielony dzwon drzewa
niebieski dzwon wody
ja mam kolatke
od niestrzezonych ogrodow

uderzam w deske
a ona podpowiada
suchy poemat moralisty
tak - tak
nie - nie",Kolatka,Modern,Love
HERBERT ZBIGNIEW,"Siodmy aniol
jest zupelnie inny
nazywa sie nawet inaczej
Szemkel

to nie co Gabriel
zlocisty
podpora tronu
i baldachim

ani to co Rafael
stroiciel chorow

ani takze
Azrael
kierowca planet
geometra nieskonczonosci
doskonaly znawca fizyki teoretycznej

Szemkel
jest czarny i nerwowy
i byl wielokrotnie karany
za przemyt grzesznikow

miedzy otchlania
a niebem
jego tupot nieustanny

nic nie ceni swojej godnosci
i utrzymuja go w zastepie
tylko ze wzgledu na liczbe siedem

ale nie jest taki jak inni

nie to co hetman zastepow
Michal
caly w luskach i pioropuszach

ani to co Azrafael
dekorator swiata
opiekun bujnej wegetacji
ze skrzydlami jak dwa deby szumiace

ani nawet to co
Dedrael
apologeta i kabalista

Szemkel Szemkel
- sarkaja aniolowie
dlaczego nie jestes doskonaly

malarze bizantynscy
kiedy maluja siedmiu
odtwarzaja Szemkela
podobnego do tamtych

sadza bowiem
ze popadliby w herezje
gdyby wymalowali go
takim jak jest
czarny nerwowy
w starej wylenialej aureoli",Siodmy aniol,Modern,Love
HERBERT ZBIGNIEW,"wlasciwy pojedynek Apollona
z Marsjaszem
(sluch absolutny
kontra ogromna skala)
odbywa sie pod wieczor
gdy jak juz wiemy
sedziowie
przyznali zwyciestwo bogu

mocno przywiazany do drzewa
dokladnie odarty ze skory
Marsjasz
krzyczy
zanim krzyk dojdzie
do jego wysokich uszu
wypoczywa w cieniu tego krzyku

wstrzasany dreszczem obrzydzenia
Apollo czysci swoj instrument

tylko z pozoru
glos Marsjasza
jest monotonny
i sklada sie z jednej samogloski
A

w istocie
opowiada
Marsjasz
nieprzebrane bogactwo
swego ciala

lyse gory watroby
pokarmow biale wawozy
szumiace lasy pluc
slodkie pagorki miesni
stawy zolc krew i dreszcze
zimowy wiatr kosci
nad sola pamieci

wstrzasany dreszczem obrzydzenia
Apollo czysci swoj instrument

teraz do choru
przylacza sie stos pacierzowy Marsjasza
w zasadzie to samo A
tylko glebsze z dodatkiem rdzy

to juz jest ponad wytrzymalosc
boga o nerwach z tworzyw sztucznych

zwirowa aleja
wysadzana bukszpanem
odchodzi zwyciezca
zastanawiajac sie
czy z wycia Marsjasza
nie powstanie z czasem

nowa galaz
sztuki - powiedzmy - konkretnej

nagle
pod nogi upada mu
skamienialy slowik

odwraca glowe
i widzi
ze drzewo do ktorego przywiazany byl Marsjasz
jest siwe
zupelnie",Apollo i Marsjasz,Modern,Love
HERBERT ZBIGNIEW,"przez siedem gor granicznych
kolczaste druty rzek
i rozstrzelane lasy
i powieszone mosty
szedlem -
przez wodospady schodow
wiry morskich skrzydel
i barokowe niebo
cale w bablach aniolow
- do ciebie
Jeruzalem w ramach

stoje
w gestej pokrzywie
wycieczki
na brzegu purpurowego sznura
i oczu

no i jestem
widzisz jestem

nie mialem nadziei
ale jestem

pracowicie usmiechnieta
smolista niema i wypukla

jakby z soczewek zbudowana
na tle wkleslego krajobrazu

miedzy czarnymi jej plecami
ktore sa jakby ksiezyc w chmurze

a pierwszym drzewem okolicy
jest wielka proznia piany swiatla

no i jestem
czasem bylo
czasem wydawalo sie
nie warto wspominac

tyka jej regularny usmiech
glowa wahadlo nieruchome

oczy jej marza nieskonczonosc
ale w spojrzeniach spia slimaki

no i jestem
mieli przyjsc wszyscy
jestem sam

kiedy juz
nie mogl glowa ruszac
powiedzial
jak to sie skonczy
pojade do Paryza

miedzy drugim a trzecim palcem
prawej reki
przerwa

wkladam w te bruzde
puste luski losow

no i jestem
to ja jestem
wparty w posadzke
zywymi pietami

tlusta i niezbyt ladna Wloszka
na suche skaly wlos rozpuszcza

od miesa zycia odrabana
porwana z domu i historii

o przerazliwych uszach z wosku
szarfa zywicy uduszona

jej puste ciala woluminy
sa osadzone na diamentach

miedzy czarnymi jej plecami
a pierwszym drzewem mego zycia

miecz lezy
wytopiona przepasc",Mona Liza,Modern,Love
